Zip,Median,Pop
2150,40344,34956
2151,51723,47323
2152,68218,18303
2155,69803,57291
2163,23429,929
2169,56647,52278
2170,64309,19203
2171,66808,16610
2176,85681,27173
2180,78103,22116
2184,77129,33731
2186,98712,26112
2188,65251,13828
2189,62491,14455
2190,74205,16780
2191,68143,8916
2199,68080,1004
2203,106602,1
2210,61807,413
2215,30726,21896
2301,48470,61459
2302,62408,32523
2322,67313,4483
2324,80879,22922
2330,70048,11169
2332,116904,14241
2333,82133,13012
2339,104787,13171
2341,81912,9550
2343,62560,10705
2346,72466,19926
2347,94495,9810
2351,75850,14614
2356,99682,12966
2357,101136,323
2359,83622,16907
2360,74603,51563
2364,78923,11805
2366,89632,126
2367,87917,2622
2368,65118,30999
2370,62855,17665
2375,78410,9034
2379,73651,6610
2382,77027,13867
2420,139453,14109
2421,126827,16360
2445,105027,21282
2446,67338,24351
2451,78675,17553
2452,67088,12642
2453,59067,29043
2457,179792,551
2458,90740,12603
2459,128598,18940
2460,107495,8772
2461,110373,6599
2462,134119,1679
2464,81143,2958
2465,110531,11789
2466,115116,7010
2467,130044,15408
2468,166454,5429
2472,74968,32913
2474,82845,25806
2476,83975,16533
2478,95269,24296
2481,173681,14503
2482,123003,11569
2492,118211,20064
2493,147946,11526
2494,104492,8885
2532,60257,11275
2534,60788,865
2535,68906,1182
2536,61733,19684
2537,86643,5732
2538,54545,3528
2539,67625,3771
2540,58667,8794
2542,39803,1588
2543,82355,845
2553,70197,249
2554,61502,6889
2556,67750,3352
2557,59156,3684
2558,51662,1779
2559,62761,3309
2561,68597,481
2562,68960,2881
2563,84184,10346
2564,81944,388
2568,516,31
2571,55500,10045
2575,68906,2438
2576,62034,3213
2584,81944,4
2601,44219,15104
2630,71383,1873
2631,58280,9796
2632,67464,11376
2633,65871,4282
2635,75166,3412
2637,71516,277
2638,56770,3700
2639,47356,3363
2641,61013,719
2642,59536,5431
2643,62589,45
2644,82198,3876
2645,55137,9578
2646,52700,1947
2647,47353,168
2648,71212,7610
2649,62993,12960
2650,64477,979
2651,54464,13
2652,80425,1288
2653,57062,6359
2655,72786,3956
2657,44646,3430
2659,67569,1102
2660,52611,6546
2663,66109,130
2664,46673,9702
2666,80425,790
2667,66118,2614
2668,71947,3274
2669,67569,259
2670,36555,1630
2671,55677,1061
2672,51601,249
2673,46414,8985
2675,63557,6712
2702,91095,3869
2703,67398,41916
2713,68906,55
2715,83613,2591
2717,75793,4594
2718,81142,6406
2719,53936,16150
2720,47794,31309
2721,32106,26428
2723,30338,16231
2724,30652,17397
2725,65712,2663
2726,68267,15530
2738,101006,5118
2739,74877,6282
2740,38238,43249
2743,70836,10148
2744,31128,11667
2745,51951,23851
2746,24099,14861
2747,72292,19451
2748,72885,11531
2760,79274,25526
2762,73645,7678
2763,76722,1782
2764,83621,3623
2766,77953,17869
2767,76338,11839
2769,90530,10179
2770,95022,4397
2771,73961,13507
2777,70245,15945
2779,81125,5748
2780,53796,49469
2790,68367,14305
2791,72105,302
2802,62982,733
2804,71104,2574
2806,105128,16818
2807,75417,1009
2808,73725,2279
2809,65256,22438
2812,72819,1216
2813,69956,7847
2814,79171,7664
2815,78476,257
2816,68135,31625
2817,81419,5095
2818,90430,18176
2822,98411,5697
2825,73268,4922
2826,65948,832
2827,79051,2149
2828,78326,7396
2830,65423,5806
2831,68687,3487
2832,71453,4481
2833,71104,708
2835,77813,5617
2836,72819,98
2837,94866,3592
2838,62982,3712
2839,65948,1833
2840,58815,25661
2841,53958,840
2842,70801,17305
2852,76449,23107
2857,74686,8462
2858,65948,545
2859,70127,6798
2860,35154,46470
2861,53929,26624
2863,33666,18946
2864,73450,31834
2865,75540,16435
2871,59264,12418
2872,71705,88
2873,71104,161
2874,90020,5081
2875,72819,307
2876,80080,80
2878,62530,15257
2879,70848,19172
2881,47075,6387
2882,61144,14807
2885,54317,11386
2886,59954,30234
2888,58509,20650
2889,60122,29615
2891,61399,21338
2892,80222,4846
2893,52342,29518
2894,72539,730
2895,40457,43198
2896,79213,10549
2898,72768,1672
2903,26262,9350
2904,44102,28539
2905,34503,20393
2906,64563,29878
2907,30216,27163
2908,40373,38036
2909,33877,40945
2910,58287,20959
2911,48687,15508
2912,60938,1016
2914,46275,22316
2915,52780,18127
2916,59302,8220
2917,71030,13288
2919,59408,28253
2920,54380,37423
2921,85748,10608
3031,115544,10879
3032,90082,4674
3033,101722,4185
3034,90986,3961
3036,99970,3785
3037,85573,3638
3038,72374,33893
3042,73405,5479
3043,67541,1500
3044,76929,3491
3045,76696,12705
3046,95682,2226
3047,69136,1686
3048,63151,3333
3049,112885,7013
3051,77996,22952
3052,100051,7331
3053,93465,23364
3054,92954,25094
3055,70617,13437
3057,97234,2091
3060,45861,29540
3062,83501,26234
3063,75894,16175
3064,68657,14652
3070,86118,4097
3071,72739,4294
3076,93085,10913
3077,61164,9669
3079,68841,28011
3082,80299,1519
3084,72806,1270
3086,68090,3775
3087,114204,10705
3101,28275,2754
3102,50355,30331
3103,51018,36749
3104,61017,31954
3106,53663,7285
3109,67513,9484
3110,117684,18257
3215,49073,256
3216,64522,1985
3217,44153,1924
3218,65727,918
3220,56585,6777
3221,67314,1796
3222,47954,5020
3223,44546,2831
3224,78500,1947
3225,65804,2991
3226,1341,30
3227,51866,963
3229,86083,5387
3230,62943,1138
3231,64522,117
3233,66146,154
3234,71686,4026
3235,49138,8470
3237,64219,1878
3238,44050,61
3240,54297,1138
3241,70144,679
3242,73472,4444
3243,62943,991
3244,57426,6950
3245,44153,1937
3246,45867,16437
3249,60450,6763
3251,49073,1269
3253,58931,5890
3254,74162,4478
3255,67396,1738
3256,585,16
3257,66175,4053
3258,74808,2221
3259,51866,290
3260,67396,628
3261,64816,3674
3262,44050,1023
3263,57987,3952
3264,43783,6223
3266,51840,2072
3268,64522,1031
3269,61702,2586
3273,67396,347
3275,58388,11732
3276,55931,7952
3278,63262,2897
3279,44050,807
3280,52648,895
3281,78480,7775
3282,59259,791
3284,81000,736
3285,49073,1823
3287,62943,1076
3290,98477,3590
3291,98542,51
3293,44050,114
3301,52876,31800
3303,57450,14137
3304,103270,7136
3307,74570,4497
3431,49288,24237
3440,61481,2487
3441,36932,312
3442,67351,1409
3443,79400,695
3444,60369,1473
3445,60369,755
3446,52053,5949
3447,67839,2151
3448,55170,802
3449,64231,1738
3450,60369,1065
3451,44533,4118
3452,56637,5477
3455,55913,2036
3456,55170,749
3457,60369,698
3458,70275,6274
3461,68250,5444
3462,79400,1607
3464,60369,876
3465,55910,1969
3466,79400,1259
3467,79400,1722
3470,43642,4840
3561,44787,5864
3570,39342,10270
3574,58082,2201
3575,60741,59
3576,36884,3475
3579,41891,372
3580,56505,1193
3581,43217,3271
3582,35740,2715
3583,60741,1005
3584,46889,3512
3585,50406,2414
3586,58082,535
3588,52026,1640
3590,35828,1236
3592,38616,1146
3593,60741,338
3595,60741,600
3597,38550,389
3598,48061,2966
3601,58667,398
3602,56041,2584
3603,49290,5027
3604,58112,29
3605,52648,971
3607,58667,316
3608,58112,2887
3609,58112,672
3740,50092,760
3741,60392,3590
3743,42247,13840
3745,77619,1468
3746,77619,194
3748,61496,4747
3750,110729,951
3751,64611,308
3752,52648,746
3753,81000,2169
3754,45794,19
3755,81607,9900
3765,41575,448
3766,59682,8867
3768,70144,1679
3770,77619,347
3771,50406,738
3773,49852,7502
3774,41575,1936
3777,59259,1089
3779,59259,710
3780,41614,449
3781,77619,1892
3782,59775,2823
3784,56652,3742
3785,42817,2070
3801,63815,21560
3809,57560,2928
3810,57569,1572
3811,87514,6267
3812,46357,897
3813,46708,2530
3814,44967,2265
3816,52679,1159
3817,51866,462
3818,49733,3309
3819,78083,4017
3820,59989,26940
3823,72209,1432
3824,60676,12659
3825,74102,7375
3826,82711,2439
3827,87103,2579
3830,46406,1258
3832,55531,381
3833,74806,19202
3835,47975,5778
3836,45728,1286
3837,64219,1173
3838,46357,922
3839,55733,3490
3840,75526,3220
3841,83959,6086
3842,72310,14818
3844,112417,1879
3845,45924,1000
3846,46357,818
3847,40661,302
3848,69792,5863
3849,55543,1295
3850,52679,369
3851,58382,3378
3852,58382,534
3853,52679,581
3854,67292,1010
3855,60625,2216
3856,79824,1557
3857,70588,8048
3858,87257,4288
3860,40861,3450
3861,72209,4153
3862,75081,4254
3864,44967,1628
3865,76471,7731
3867,51183,20308
3868,53629,4778
3869,66161,2582
3870,85268,5062
3871,85268,119
3872,46406,3200
3873,84362,4942
3874,52645,8047
3875,55214,625
3878,52254,11539
3882,45728,1273
3883,51866,179
3884,72303,3585
3885,106572,6336
3886,51872,1854
3887,57598,1827
3890,44967,303
3894,55652,6116
3901,61513,6373
3902,72016,2083
3903,66854,5952
3904,52799,7636
3905,54048,1902
3906,57711,4331
3907,57542,1223
3908,75007,6684
3909,61753,10093
3910,57101,338
3911,57101,341
4001,51227,2138
4002,62908,6280
4003,66055,477
4005,49409,22620
4006,61583,124
4008,63192,2498
4009,42420,4815
4010,42439,1248
4011,51062,21168
4015,51656,3501
4017,85168,355
4019,58429,87
4020,48269,1269
4021,85168,5589
4022,42439,1003
4024,52059,529
4027,56227,5085
4029,52059,1433
4030,60288,1836
4032,60895,7797
4037,37578,3373
4038,70795,14169
4039,67751,6428
4040,42035,2629
4041,40694,1415
4042,57536,4117
4043,73978,10482
4046,60745,7282
4047,48269,1580
4048,50684,2288
